code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
688015,交控科技,运输设备,北京,81.22,0.33,1.6,32.29,29.56,1.26,6.54,4.09,0.37,6.28,5.1,20190722,1.72,1.07,0.0,0.0,27.44,5.26,13785.0
000785,武汉中商,百货,湖北,13.73,2.51,2.51,27.3,12.71,5.83,0.74,0.29,0.54,5.3,1.87,19970711,7.62,3.03,-0.18,43.47,25.37,4.61,23098.0
300699,光威复材,化工原料,山东,33.36,3.22,5.18,38.55,25.97,5.68,15.1,2.91,0.857,6.07,6.28,20170901,10.87,2.1,33.05,43.0,49.08,33.94,34674.0
002302,西部建设,水泥,新疆,16.75,12.39,12.62,257.38,224.69,21.47,28.06,2.22,0.485,5.64,1.92,20091103,28.95,2.29,24.23,174.25,10.92,3.67,80080.0
688088,虹软科技,软件服务,浙江,88.89,0.38,4.06,26.8,26.28,0.15,18.71,4.61,0.38,5.99,6.91,20190722,1.67,0.41,0.0,0.0,94.15,34.32,18197.0
002357,富临运业,公路,四川,12.85,3.13,3.13,26.31,2.98,6.07,1.87,0.6,0.32899999999999996,3.75,1.5,20100210,5.3,1.69,-5.69,111.25,22.81,15.19,19374.0
300730,科创信息,软件服务,湖南,4407.28,0.76,1.58,6.1,4.6,0.71,0.82,0.52,0.002,2.5,5.82,20171205,1.33,0.84,16.44,-89.8,29.87,0.2,19872.0
300788,中信出版,出版业,北京,37.84,0.48,1.9,25.21,23.06,0.17,7.51,3.95,1.14,8.56,5.43,20190705,6.1,3.21,0.0,0.0,38.36,12.92,12944.0
300648,星云股份,电器仪表,福建,239.9,0.6,1.35,8.44,5.44,1.11,2.26,1.67,0.047,3.95,3.8,20170425,1.55,1.14,14.3,-74.1,43.48,2.42,13936.0
002664,长鹰信质,汽车配件,浙江,18.69,3.5,4.0,37.83,25.41,4.73,4.39,1.1,0.546,5.88,2.31,20120316,13.72,3.43,-0.75,9.74,25.34,11.19,19942.0
000756,新华制药,化学制药,山东,13.74,3.99,6.22,60.49,21.54,24.88,6.29,1.01,0.384,4.65,1.51,19970806,12.17,1.96,11.1,23.42,31.47,5.42,31317.0
000028,国药一致,医药商业,深圳,14.54,3.08,4.28,348.17,282.69,5.84,43.63,10.19,2.247,29.08,1.5,19930809,74.46,17.39,22.38,3.79,10.82,2.47,21620.0
300742,越博动力,汽车配件,江苏,0.0,0.43,0.78,23.78,15.91,3.99,8.27,10.53,-0.97,13.44,1.64,20180508,1.28,1.64,-44.27,-728.73,24.25,-31.12,13953.0
300226,上海钢联,互联网,上海,61.58,1.53,1.59,153.71,149.47,1.89,7.43,4.67,0.9009999999999999,6.92,10.69,20110608,1.71,1.08,12.44,48.2,0.8,0.18,11825.0
000616,海航投资,全国地产,辽宁,0.0,14.3,14.3,60.78,41.75,0.05,2.02,0.14,-0.004,3.03,0.77,19961108,23.29,1.63,-5.48,-101.65,21.81,-3.12,94313.0
603880,南卫股份,医疗保健,江苏,35.69,0.82,1.69,8.02,4.79,0.76,1.92,1.13,0.19699999999999998,3.37,2.78,20170807,1.78,1.05,0.37,-36.75,23.21,9.44,10492.0
000514,渝 开 发,区域地产,重庆,211.11,8.44,8.44,62.37,49.14,6.78,11.88,1.41,0.013000000000000001,3.56,1.05,19930712,8.4,1.0,-48.68,-4.66,34.67,5.61,56752.0
